"c0"	"iter"	"m0"	"mem_used"	"n0"	"r0"	"time"	"v0"	"ROWS"	"COLS"	"RESID"	"STRING_DENS"	"MEME_PVAL"	"CLUSTS_PER_ROW"	"CLUSTS_PER_COL"	"N_MOVES"	"N_IMPROVEMENTS"	"N_CLUSTS_CHANGED_ROWS"	"N_CLUSTS_CHANGED_COLS"
1.1973684210526316	26	0.45	2071376	-0.225	1.0	8.131539316972097	0.275	20.186666f0	24.293333f0	0.38501364f0	-0.99137276f0	-2.726652f0	1.8498168f0	31.431034f0	245	79	63	33
1.1973684210526316	27	0.468	2699128	-0.234	1.0	8.670233567555746	0.28200000000000003	20.0f0	24.813334f0	0.38234556f0	-0.95059705f0	-2.7519689f0	1.8439803f0	32.103447f0	293	78	65	39
1.1973684210526316	28	0.486	2694392	-0.243	1.0	8.885872952143352	0.289	20.026667f0	24.813334f0	0.38195065f0	-0.94725645f0	-2.7594807f0	1.8441718f0	32.103447f0	52	6	29	4
1.1973684210526316	29	0.504	2705816	-0.252	1.0	9.100319683551788	0.296	20.026667f0	24.813334f0	0.38194498f0	-0.94715923f0	-2.7597587f0	1.8419118f0	32.103447f0	40	1	23	7
1.1973684210526316	30	0.522	2065244	-0.261	1.0	9.306677917639414	0.30299999999999994	20.0f0	24.826666f0	0.38187042f0	-0.9474821f0	-2.761718f0	1.8394607f0	32.12069f0	41	2	23	6
1.1973684210526316	31	0.54	2069432	-0.27	1.0	9.892546701431275	0.31	18.48f0	26.266666f0	0.37568003f0	-0.86197174f0	-3.0864534f0	1.764631f0	33.982758f0	590	163	72	59
1.1973684210526316	32	0.558	2714296	-0.279	1.0	10.188862482706705	0.317	18.453333f0	26.28f0	0.37347263f0	-0.8418702f0	-3.006953f0	1.7509482f0	34.0f0	97	24	42	11
1.1973684210526316	33	0.5760000000000001	2068404	-0.28800000000000003	1.0	10.392281798521678	0.32399999999999995	18.44f0	26.28f0	0.37298572f0	-0.840506f0	-3.0109053f0	1.749684f0	34.0f0	39	1	26	2
1.1973684210526316	34	0.594	2066076	-0.297	1.0	10.55431931813558	0.33099999999999996	18.44f0	26.28f0	0.37305462f0	-0.83947325f0	-3.0179188f0	1.749684f0	34.0f0	40	1	25	2
1.1973684210526316	35	0.612	2708556	-0.306	1.0	10.71986913283666	0.33799999999999997	18.346666f0	26.293333f0	0.37664083f0	-0.8355011f0	-3.0816138f0	1.7386364f0	34.017242f0	38	0	26	1
1.1973684210526316	36	0.63	2706952	-0.315	1.0	11.068639548619588	0.345	18.226667f0	26.8f0	0.37712765f0	-0.8183798f0	-3.1845877f0	1.7316456f0	34.672413f0	163	26	50	33
1.1973684210526316	37	0.648	2710776	-0.324	1.0	11.328822684288024	0.352	18.2f0	26.986666f0	0.37763777f0	-0.80801535f0	-3.2239015f0	1.7313055f0	34.91379f0	94	11	38	24
1.1973684210526316	38	0.666	2713596	-0.333	1.0	11.494178716341654	0.359	18.24f0	27.0f0	0.3770262f0	-0.8039081f0	-3.231098f0	1.7373097f0	34.931034f0	52	7	21	14
1.1973684210526316	39	0.684	2704792	-0.342	1.0	11.659173015753428	0.366	18.16f0	27.04f0	0.3768405f0	-0.8014926f0	-3.2513287f0	1.7318933f0	34.982758f0	51	3	19	20
1.1973684210526316	40	0.7020000000000001	2716312	-0.35100000000000003	1.0	11.802683198451996	0.373	18.106667f0	27.053333f0	0.37644938f0	-0.7995997f0	-3.2606533f0	1.7312102f0	35.0f0	43	5	15	19
1.1973684210526316	41	0.72	2083116	-0.36	1.0	11.943699065844218	0.38	18.106667f0	27.32f0	0.3775301f0	-0.7971733f0	-3.3082623f0	1.7268107f0	35.344826f0	38	0	13	14
