MPN001	MPN002	864
MPN001	MPN003	926
MPN001	MPN004	867
MPN001	MPN005	768
MPN001	MPN006	576
MPN001	MPN007	576
MPN001	MPN008	698
MPN001	MPN009	576
MPN001	MPN010	347
MPN001	MPN014	399
MPN001	MPN026	363
MPN001	MPN029	162
MPN001	MPN034	368
MPN001	MPN060	196
MPN001	MPN074	263
MPN001	MPN105	245
MPN001	MPN106	311
MPN001	MPN122	783
MPN001	MPN123	381
MPN001	MPN125	352
MPN001	MPN221	456
MPN001	MPN222	357
MPN001	MPN223	263
MPN001	MPN224	260
MPN001	MPN232	185
MPN001	MPN240	243
MPN001	MPN241	232
MPN001	MPN254	177
MPN001	MPN261	318
MPN001	MPN303	899
MPN001	MPN309	151
MPN001	MPN315	306
MPN001	MPN341	194
MPN001	MPN350	496
MPN001	MPN353	255
MPN001	MPN378	542
MPN001	MPN395	575
MPN001	MPN490	157
MPN001	MPN537	300
MPN001	MPN557	463
MPN001	MPN558	185
MPN001	MPN563	192
MPN001	MPN576	162
MPN001	MPN598	156
MPN001	MPN599	208
MPN001	MPN606	260
MPN001	MPN616	377
MPN001	MPN617	379
MPN001	MPN618	588
MPN001	MPN671	158
MPN001	MPN672	165
MPN001	MPN677	291
MPN001	MPN682	591
MPN001	MPN686	932
MPN002	MPN001	864
MPN002	MPN003	582
MPN002	MPN004	582
MPN002	MPN005	582
MPN002	MPN006	577
MPN002	MPN007	577
MPN002	MPN008	577
MPN002	MPN009	793
MPN002	MPN010	348
MPN002	MPN014	694
MPN002	MPN020	486
MPN002	MPN021	397
MPN002	MPN067	491
MPN002	MPN119	433
MPN002	MPN120	167
MPN002	MPN153	551
MPN002	MPN154	457
MPN002	MPN155	486
MPN002	MPN165	486
MPN002	MPN173	508
MPN002	MPN178	530
MPN002	MPN187	517
MPN002	MPN191	486
MPN002	MPN219	540
MPN002	MPN252	517
MPN002	MPN261	497
MPN002	MPN265	491
MPN002	MPN266	486
MPN002	MPN352	514
MPN002	MPN354	508
MPN002	MPN379	562
MPN002	MPN400	274
MPN002	MPN430	575
MPN002	MPN434	806
MPN002	MPN437	486
MPN002	MPN443	486
MPN002	MPN444	282
MPN002	MPN459	167
MPN002	MPN490	540
MPN002	MPN515	486
MPN002	MPN516	545
MPN002	MPN531	587
MPN002	MPN533	180
MPN002	MPN539	536
MPN002	MPN553	621
MPN002	MPN673	575
MPN002	MPN678	491
MPN003	MPN001	926
MPN003	MPN002	582
MPN003	MPN004	998
MPN003	MPN005	931
MPN003	MPN006	906
MPN003	MPN007	858
MPN003	MPN008	936
MPN003	MPN009	858
MPN003	MPN010	481
MPN003	MPN014	313
MPN003	MPN020	497
MPN003	MPN045	364
MPN003	MPN053	191
MPN003	MPN059	367
MPN003	MPN060	176
MPN003	MPN065	167
MPN003	MPN074	172
MPN003	MPN105	354
MPN003	MPN106	297
MPN003	MPN115	213
MPN003	MPN122	183
MPN003	MPN123	940
MPN003	MPN126	319
MPN003	MPN159	157
